generation,education,marital_status,income,children,expenses,purchases,recency,years,acceptcmpg
Baby_boomers,graduate,single,58138.0,0,1617,32,58,12.0,0
Baby_boomers,graduate,single,46344.0,2,27,11,38,9.0,0
Gen_X,graduate,relation,71613.0,0,776,25,26,10.0,0
Millennial,graduate,relation,26646.0,1,53,14,26,9.0,0
Millennial,post_graduate,relation,58293.0,1,422,24,94,10.0,0
Gen_X,post_graduate,relation,62513.0,1,716,28,16,10.0,0
Gen_X,graduate,single,55635.0,1,590,27,34,11.0,0
Millennial,post_graduate,relation,33454.0,1,169,18,32,10.0,0
Gen_X,post_graduate,relation,30351.0,1,46,15,19,11.0,0
Baby_boomers,post_graduate,relation,5648.0,2,49,22,68,10.0,1
Millennial,graduate,relation,52247.25135379061,1,19,11,11,10.0,0
Gen_X,under_graduate,relation,7500.0,0,61,14,59,11.0,0
Baby_boomers,graduate,single,63033.0,0,1102,18,82,10.0,0
Baby_boomers,post_graduate,single,59354.0,2,310,21,53,10.0,0
Millennial,graduate,relation,17323.0,0,46,13,38,11.0,0
Baby_boomers,post_graduate,single,82800.0,0,1315,29,23,11.0,2
Millennial,graduate,relation,41850.0,2,96,17,51,11.0,0
Baby_boomers,graduate,relation,37760.0,0,317,20,20,11.0,0
Baby_boomers,post_graduate,relation,76995.0,1,1782,31,91,11.0,1
Millennial,post_graduate,single,33812.0,1,133,14,86,12.0,0
Millennial,graduate,relation,37040.0,0,316,20,41,11.0,0
Gen_X,graduate,relation,2447.0,1,1730,44,42,11.0,0
Baby_boomers,post_graduate,relation,58607.0,1,972,25,63,11.0,1
Baby_boomers,post_graduate,relation,65324.0,1,544,24,0,9.0,0
Baby_boomers,graduate,relation,40689.0,1,444,28,69,11.0,0
Gen_X,graduate,single,18589.0,0,75,15,89,11.0,0
Gen_X,graduate,relation,53359.0,2,257,21,4,11.0,0
Millennial,graduate,single,52247.25135379061,1,637,28,19,11.0,0
Millennial,graduate,relation,38360.0,1,131,12,26,11.0,0
Gen_X,post_graduate,relation,84618.0,0,1672,28,96,10.0,1
Millennial,post_graduate,single,10979.0,0,30,13,34,10.0,0
Baby_boomers,post_graduate,relation,38620.0,0,318,14,56,10.0,0
