id,year_birth,education,marital_status,income,kidhome,teenhome,dt_customer,recency,mntwines,mntfruits,mntmeatproducts,mntfishproducts,mntsweetproducts,mntgoldprods,numdealspurchases,numwebpurchases,numcatalogpurchases,numstorepurchases,numwebvisitsmonth,acceptedcmp3,acceptedcmp4,acceptedcmp5,acceptedcmp1,acceptedcmp2,complain,response,children,expenses,purchases,acceptcmpg,generation,first_day,years
5524,1957,graduate,single,58138.0,0,0,2012-04-09,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,0,1617,32,0,Baby_boomers,2024-01-01,12.0
2174,1954,graduate,single,46344.0,1,1,2014-08-03,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,2,27,11,0,Baby_boomers,2024-01-01,9.0
4141,1965,graduate,relation,71613.0,0,0,2013-08-21,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,0,776,25,0,Gen_X,2024-01-01,10.0
6182,1984,graduate,relation,26646.0,1,0,2014-10-02,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,1,53,14,0,Millennial,2024-01-01,9.0
5324,1981,post_graduate,relation,58293.0,1,0,2014-01-19,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,1,422,24,0,Millennial,2024-01-01,10.0
7446,1967,post_graduate,relation,62513.0,0,1,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,1,716,28,0,Gen_X,2024-01-01,10.0
965,1971,graduate,single,55635.0,0,1,2012-11-13,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,1,590,27,0,Gen_X,2024-01-01,11.0
6177,1985,post_graduate,relation,33454.0,1,0,2013-08-05,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,1,169,18,0,Millennial,2024-01-01,10.0
4855,1974,post_graduate,relation,30351.0,1,0,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,1,46,15,0,Gen_X,2024-01-01,11.0
5899,1950,post_graduate,relation,5648.0,1,1,2014-03-13,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,2,49,22,1,Baby_boomers,2024-01-01,10.0
1994,1983,graduate,relation,52247.25135379061,1,0,2013-11-15,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,0,1,19,11,0,Millennial,2024-01-01,10.0
387,1976,under_graduate,relation,7500.0,0,0,2012-11-13,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,0,61,14,0,Gen_X,2024-01-01,11.0
2125,1959,graduate,single,63033.0,0,0,2013-11-15,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,0,1102,18,0,Baby_boomers,2024-01-01,10.0
8180,1952,post_graduate,single,59354.0,1,1,2013-11-15,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,2,310,21,0,Baby_boomers,2024-01-01,10.0
2569,1987,graduate,relation,17323.0,0,0,2012-10-10,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,0,46,13,0,Millennial,2024-01-01,11.0
2114,1946,post_graduate,single,82800.0,0,0,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,0,1315,29,1,Baby_boomers,2024-01-01,11.0
9736,1980,graduate,relation,41850.0,1,1,2012-12-24,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,2,96,17,0,Millennial,2024-01-01,11.0
4939,1946,graduate,relation,37760.0,0,0,2012-08-31,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,0,317,20,0,Baby_boomers,2024-01-01,11.0
6565,1949,post_graduate,relation,76995.0,0,1,2013-03-28,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,1,1782,31,1,Baby_boomers,2024-01-01,11.0
2278,1985,post_graduate,single,33812.0,1,0,2012-03-11,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,1,133,14,0,Millennial,2024-01-01,12.0
9360,1982,graduate,relation,37040.0,0,0,2012-08-08,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,0,316,20,0,Millennial,2024-01-01,11.0
5376,1979,graduate,relation,2447.0,1,0,2013-06-01,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,1,1730,44,0,Gen_X,2024-01-01,11.0
1993,1949,post_graduate,relation,58607.0,0,1,2012-12-23,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,1,972,25,1,Baby_boomers,2024-01-01,11.0
4047,1954,post_graduate,relation,65324.0,0,1,2014-11-01,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,1,544,24,0,Baby_boomers,2024-01-01,9.0
1409,1951,graduate,relation,40689.0,0,1,2013-03-18,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,1,444,28,0,Baby_boomers,2024-01-01,11.0
7892,1969,graduate,single,18589.0,0,0,2013-02-01,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,0,75,15,0,Gen_X,2024-01-01,11.0
2404,1976,graduate,relation,53359.0,1,1,2013-05-27,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,2,257,21,0,Gen_X,2024-01-01,11.0
5255,1986,graduate,single,52247.25135379061,1,0,2013-02-20,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,0,1,637,28,0,Millennial,2024-01-01,11.0
9422,1989,graduate,relation,38360.0,1,0,2013-05-31,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,1,131,12,0,Millennial,2024-01-01,11.0
1966,1965,post_graduate,relation,84618.0,0,0,2013-11-22,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,0,1672,28,1,Gen_X,2024-01-01,10.0
6864,1989,post_graduate,single,10979.0,0,0,2014-05-22,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,0,30,13,0,Millennial,2024-01-01,10.0
3033,1963,post_graduate,relation,38620.0,0,0,2013-11-05,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,0,318,14,0,Baby_boomers,2024-01-01,10.0
5710,1970,graduate,relation,40548.0,0,1,2012-10-10,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,1,120,14,1,Gen_X,2024-01-01,11.0
7373,1952,post_graduate,single,46610.0,0,2,2012-10-29,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,2,302,23,0,Baby_boomers,2024-01-01,11.0
8755,1946,post_graduate,relation,68657.0,0,0,2013-02-20,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,0,1196,25,0,Baby_boomers,2024-01-01,11.0
10738,1951,post_graduate,single,49389.0,1,1,2013-08-29,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,2,65,13,0,Baby_boomers,2024-01-01,10.0
4339,1970,post_graduate,relation,67353.0,0,1,2013-12-31,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,1,913,30,0,Gen_X,2024-01-01,10.0
10755,1976,post_graduate,relation,23718.0,1,0,2013-02-09,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,1,81,16,0,Gen_X,2024-01-01,11.0
8595,1973,graduate,single,42429.0,0,1,2014-11-02,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,1,67,12,0,Gen_X,2024-01-01,9.0
2968,1943,post_graduate,single,48948.0,0,0,2013-01-02,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,0,902,30,1,Builder,2024-01-01,11.0
8601,1980,graduate,relation,80011.0,0,1,2013-04-29,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,1,1395,25,0,Millennial,2024-01-01,11.0
503,1985,post_graduate,relation,20559.0,1,0,2013-12-03,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,1,53,15,0,Millennial,2024-01-01,10.0
8430,1957,graduate,relation,21994.0,0,1,2012-12-24,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,1,22,9,0,Baby_boomers,2024-01-01,11.0
7281,1959,post_graduate,single,52247.25135379061,0,0,2013-05-11,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,0,0,186,11,0,Baby_boomers,2024-01-01,11.0
2139,1975,post_graduate,relation,7500.0,1,0,2013-02-10,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,1,31,13,0,Gen_X,2024-01-01,11.0
1371,1976,graduate,single,79941.0,0,0,2014-06-28,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,0,984,17,0,Gen_X,2024-01-01,10.0
9909,1996,post_graduate,relation,7500.0,0,0,2012-09-11,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,0,122,19,0,Gen_Z,2024-01-01,11.0
7286,1968,graduate,relation,41728.0,1,0,2013-05-24,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,1,55,15,0,Gen_X,2024-01-01,11.0
7244,1951,graduate,single,52247.25135379061,2,1,2014-01-01,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,0,3,124,16,0,Baby_boomers,2024-01-01,10.0
6566,1954,post_graduate,relation,72550.0,1,1,2012-08-11,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,2,1319,36,0,Baby_boomers,2024-01-01,11.0
8614,1957,graduate,single,65486.0,0,1,2014-12-05,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,1,507,19,0,Baby_boomers,2024-01-01,9.0
4114,1964,post_graduate,relation,79143.0,0,0,2012-11-08,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,0,1693,32,0,Baby_boomers,2024-01-01,11.0
1331,1977,graduate,single,35790.0,1,0,2013-02-01,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,1,72,14,0,Gen_X,2024-01-01,11.0
2225,1977,graduate,single,82582.0,0,0,2014-07-06,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,0,1617,22,1,Gen_X,2024-01-01,9.0
9381,1978,graduate,relation,66373.0,1,1,2013-12-06,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,2,606,26,0,Gen_X,2024-01-01,10.0
6260,1955,post_graduate,relation,82384.0,0,0,2012-11-19,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,0,1957,28,1,Baby_boomers,2024-01-01,11.0
10383,1966,graduate,single,70287.0,0,0,2013-02-04,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,0,1093,24,0,Gen_X,2024-01-01,11.0
7437,1988,graduate,single,27938.0,1,0,2014-04-28,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,1,29,9,0,Millennial,2024-01-01,10.0
8557,1982,graduate,single,52247.25135379061,1,0,2013-06-17,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,0,1,46,13,0,Millennial,2024-01-01,11.0
8375,1968,post_graduate,relation,55954.0,0,1,2014-03-03,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,1,518,26,0,Gen_X,2024-01-01,10.0
6853,1982,post_graduate,single,75777.0,0,0,2013-04-07,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,0,1438,22,1,Millennial,2024-01-01,11.0
3076,1975,graduate,relation,66653.0,1,1,2012-07-09,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,2,612,25,0,Gen_X,2024-01-01,11.0
1012,1952,graduate,single,61823.0,0,1,2013-02-18,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,1,884,31,0,Baby_boomers,2024-01-01,11.0
6518,1951,post_graduate,single,67680.0,0,1,2013-11-06,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,1,606,24,0,Baby_boomers,2024-01-01,10.0
4137,1948,graduate,relation,70666.0,0,0,2013-06-12,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,0,1076,20,0,Baby_boomers,2024-01-01,11.0
